CODIGO;LOCAL;SENTIDO;FAIXA
10;AV GOVERNADOR AGAMENON MAGALHAES;OLINDA;1
11;RUA PROFESSOR ARNALDO CARNEIRO LEAO;BOA VIAGEM;1
14;AV HERCULANO BANDEIRA;Centro;1
15;AV MARECHAL MASCARENHAS DE MORAES;Aeroporto;1
16;AV RECIFE;AEROPORTO;1
18;AV DEZESSETE DE AGOSTO;Ambos;1
19;RUA DELMIRO GOUVEIA;Recife;1
2;RUA MADRE DEUS;Sentido Cais de Santa Rita;1
20;AV BEBERIBE;AMBOS;1
21;AV ENGENHEIRO ABDIAS DE CARVALHO;BR-232;1
22;RUA REAL DA TORRE;Madalena;1
24;RUA GUILHERME PINTO;Centro;1
3;AV MARQUES DE OLINDA;1
33;AV DR JOSE RUFINO;Ambos;1
3CM;AV GENERAL SAN MARTIN;ABDIAS DE CARVALHO;1
3CN;AV AFONSO OLINDENSE;ALDEIA;1
3CO;AV MAURICIO DE NASSAU;BR-101;1
3CP;AV ALFREDO LISBOA;AV. ALFREDO LISBOA;1
3CS;AV DOM JOAO VI;BR-232;1
3CT;AV SATURNINO DE BRITO;CENTRO;1
3DG;AV CONS AGUIAR;PINA;1
3LN;AV ANTONIO DE GOES;CENTRO;1
3LO;AV ENGENHEIRO JOSE ESTELITA;CENTRO;1
3LP;C SANTA RITA;CENTRO;1
3LQ;AV RUI BARBOSA;AV. GOV. AGAMENON MAGALHAES;1
3RY;RUA ARQUITETO LUIZ NUNES;SUBURBIO;1
45F;AV REPUBLICA DO LIBANO;Pina;1
5;AV ENGENHEIRO DOMINGOS FERREIRA;Piedade;1
7;AV ENGENHEIRO ABDIAS DE CARVALHO;BR-232;1
9;AV CONDE DA BOA VISTA;AMBOS;1
